fdc_id,food_name,category_id,calories,carbs,protein,fat,fiber
167782,"Abiyuch, raw",9,69.0,17.6,1.5,0.1,5.3
171687,"Acerola juice, raw",9,23.0,4.8,0.4,0.3,0.3
171686,"Acerola, (west indian cherry), raw",9,32.0,7.7,0.4,0.3,1.1
168992,"Agave, cooked (Southwest)",24,135.0,32.0,1.0,0.3,10.6
168384,"Alfalfa seeds, sprouted, raw",11,23.0,2.1,4.0,0.7,1.9
170683,"Amaranth grain, cooked",20,102.0,18.7,3.8,1.6,2.1
170682,"Amaranth grain, uncooked",20,371.0,65.2,13.6,7.0,6.7
168492,"Amaranth leaves, cooked, boiled, drained, with salt",11,21.0,4.1,2.1,0.2,0.0
169202,"Amaranth leaves, cooked, boiled, drained, without salt",11,21.0,4.1,2.1,0.2,0.0
168385,"Amaranth leaves, raw",11,23.0,4.0,2.5,0.3,0.0
173931,"Apples, dehydrated (low moisture), sulfured, uncooked",9,346.0,93.5,1.3,0.6,12.4
171691,"Apples, dried, sulfured, uncooked",9,243.0,65.9,0.9,0.3,8.7
167793,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",9,63.0,15.2,0.2,0.2,2.1
168204,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",9,57.0,13.7,0.2,0.1,2.3
168202,"Apples, raw, golden delicious, with skin",9,57.0,13.6,0.3,0.2,2.4
168203,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",9,58.0,13.6,0.4,0.2,2.8
168201,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",9,59.0,14.1,0.3,0.2,2.3
171688,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",9,52.0,13.8,0.3,0.2,2.4
171689,"Apples, raw, without skin",9,48.0,12.8,0.3,0.1,1.3
173928,"Apples, raw, without skin, cooked, boiled",9,53.0,13.6,0.3,0.4,2.4
173929,"Apples, raw, without skin, cooked, microwave",9,56.0,14.4,0.3,0.4,2.8
171702,"Apricots, dehydrated (low-moisture), sulfured, uncooked",9,320.0,82.9,4.9,0.6,0.0
173941,"Apricots, dried, sulfured, uncooked",9,241.0,62.6,3.4,0.5,7.3
171697,"Apricots, raw",9,48.0,11.1,1.4,0.4,2.0
168493,"Arrowhead, cooked, boiled, drained, with salt",11,78.0,16.1,4.5,0.1,0.0
169204,"Arrowhead, cooked, boiled, drained, without salt",11,78.0,16.1,4.5,0.1,0.0
169203,"Arrowhead, raw",11,99.0,20.2,5.3,0.3,0.0
168490,"Arrowroot, raw",11,65.0,13.4,4.2,0.2,1.3
169311,"Artichokes, (globe or french), cooked, boiled, drained, with salt",11,51.0,11.4,2.9,0.3,5.7
168386,"Artichokes, (globe or french), cooked, boiled, drained, without salt",11,53.0,12.0,2.9,0.3,5.7
